Primary,Secondary,UV1-A,UV2-A,UV3-A,UV4-A,UV5-A,UV6-A,UV7-A,UV8-A,UV9-A,UV10-A,UV11-A,UV12-A,UV13-A,UV14-A,UV15-A,UV16-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,YG1-A,YG2-A,YG3-A,YG4-A,YG5-A,YG6-A,YG7-A,YG8-A,YG9-A,YG10-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A
AlexaFluor700,Alexa Fluor 700,0.001045945,0.000786768,-0.000911089,0.000838423,0.002064024,0.002554169,0.007312845,0.003736245,0.006369231,0.002001587,0.001678374,0.007752685,0.038672699,0.035605693,0.018182924,0.012528213,0.000169174,0.000250698,0.002022187,0.003569799,0.008895413,0.008686364,0.009541513,0.00652216,0.005781695,0.008136166,0.006232352,0.035783618,0.174479257,0.12395293,0.07109234,0.033890642,0.007649453,0.009182076,0.01194024,0.007412922,0.004747073,0.002060704,0.003367546,0.000888519,0.014093549,0.027313984,0.018590154,0.009858438,0.00827711,0.00962505,0.001041725,0.001462243,0.003854088,0.002240507,0.008620151,0.0527412,0.262386968,0.105948233,0.064256233,0.038754905,0.003780069,0.036074107,0.323642226,1,0.935194214,0.451013458,0.393724667,0.201794678
APC,APC,-0.000254083,0.000101464,9.16E-05,-0.000448757,0.000982104,0.000888379,0.003315041,0.002625668,0.00257178,0.001153958,0.070178721,0.022873342,0.01918646,0.019865837,0.009408737,0.007622625,0.000102977,0.000708115,0.000815106,0.000519153,0.001338796,0.000775006,0.001988928,0.001759552,0.001442268,0.002815712,0.205837749,0.062292743,0.055691356,0.046734309,0.022430861,0.010654484,0.002102424,0.002006843,0.001844822,0.000427493,0.000914224,0.001124249,0.026972963,0.014728489,0.008533563,0.006370301,0.004773191,0.003668199,0.002234025,0.001430568,0.001449863,0.000673546,0.005674727,0.501830383,0.29387123,0.135524615,0.186876702,0.090546591,0.04339389,0.028017738,1,0.840418917,0.39993927,0.345938663,0.356308489,0.186232747,0.12757032,0.069951275
APCCy7,APC Cy7,-4.79E-05,0.00036995,0.000129586,0.000286225,0.000151322,0.000805403,0.002142548,0.002490679,0.000667037,0.000542541,0.003112416,0.000612942,0.001597111,0.013846638,0.047794343,0.037065635,0.000180333,0.000130292,0.001374889,0.001311633,0.001933653,0.002326516,0.002768807,0.003067084,0.000783878,0.002364276,0.010155916,0.003564285,0.004797737,0.029221327,0.121398011,0.058300665,0.001574567,0.001493583,0.003566187,0.001915319,0.00125614,-0.000138896,0.002387839,0.001100548,-8.38E-06,0.000359973,0.001500112,0.006197372,0.011000828,0.011880716,-0.000248618,-0.000358358,1.45E-05,0.021979482,0.01396271,0.005270268,0.011038431,0.060004937,0.225171718,0.133112736,0.053345077,0.047058281,0.024555903,0.024554461,0.068842332,0.346575486,1,0.492486008
APCR700,APC R700,-7.92E-05,6.44E-05,4.38E-05,-0.000187423,0.000525321,0.000372575,0.001661249,0.001082025,0.000780978,-0.000104666,0.002745227,0.013681803,0.038482856,0.028947346,0.018551432,0.011137398,0.000287802,0.000349127,0.000270223,0.000402495,0.001199207,0.001151904,0.001298433,0.001583795,0.00094786,0.000669718,0.006726231,0.042107237,0.11065018,0.062446632,0.039924402,0.016510658,0.001342108,0.001669197,0.001800768,0.001201742,0.000827347,0.000532863,0.001916186,0.004142732,0.020137428,0.024298642,0.011984101,0.008294499,0.006024067,0.005523287,0.000295356,0.000268377,0.000623894,0.013211266,0.038049732,0.159790273,0.42946392,0.133978168,0.090173669,0.047585987,0.034681572,0.108245875,0.562258078,1,0.700935023,0.373191939,0.336561389,0.149588298
BB515,BB515,6.61E-05,-0.000212535,-1.24E-05,0.000112268,0.00019438,0.000279731,0.022994784,0.012064454,0.004601582,0.001043794,0.000272753,0.000121342,5.82E-05,0.000235752,0.000192635,3.74E-05,9.80E-05,0.000199563,0.000292706,0.000341145,0.009585111,0.011418055,0.010801133,0.003599447,0.001835012,0.001631108,0.000503024,0.00035589,0.000395091,0.000352226,0.000189091,0.000237191,1,0.824556609,0.523494274,0.112837467,0.056163227,0.029153843,0.009012277,0.005263702,0.003944678,0.001810339,0.000982703,0.000767211,0.000470787,0.000426199,-6.35E-05,5.08E-05,0.000102166,2.02E-05,4.42E-05,0.000133934,-5.70E-05,-6.61E-05,4.45E-05,-0.000116536,4.24E-05,3.95E-05,6.14E-05,0.000116228,0.000107674,1.41E-05,0.000114541,2.85E-05
BB700,BB700,0.000123323,-0.000223281,0.000166309,4.97E-05,5.04E-05,0.000706523,0.002775178,0.003146399,0.005270018,0.003220108,0.012109001,0.048869369,0.050349017,0.043198991,0.032948696,0.019016634,0.00035311,0.000374865,0.000710968,0.001067503,0.002675028,0.004822234,0.014188864,0.029007428,0.02526823,0.033827527,0.11370446,0.449531107,0.41092944,0.262509574,0.225230269,0.082224129,0.005979887,0.011655222,0.025335497,0.032741826,0.03383186,0.034649593,0.118983619,0.455513683,1,0.514015372,0.271719272,0.273738305,0.209013874,0.177315016,0.000164747,0.000251147,-0.000245321,0.009986414,0.050546893,0.104606172,0.113323854,0.039959594,0.035252789,0.016457811,0.0229055,0.153025264,0.374820685,0.281515965,0.17510769,0.135350171,0.134518134,0.054436045
Blue510,Blue510,0.000108759,-7.85E-06,9.27E-05,0.000112201,7.71E-05,0.000136073,0.001891424,0.001267619,0.00069011,0.000202178,8.65E-05,-4.41E-05,4.20E-05,0.000139669,9.14E-05,6.44E-05,2.54E-05,1.03E-05,-1.72E-05,0.000230727,0.014507991,0.016724152,0.018600584,0.007083976,0.00369639,0.003075593,0.000649713,0.000259113,0.000181457,0.000244556,0.000191379,8.07E-06,1,0.812612291,0.645063183,0.171744446,0.099599403,0.052319099,0.017120843,0.009576412,0.006990722,0.003353373,0.001849137,0.001595468,0.000887958,0.000847683,0.000237586,6.64E-05,3.83E-05,-4.49E-05,-3.77E-05,-6.68E-05,-0.000142844,-3.39E-05,2.21E-05,-1.01E-05,-5.16E-05,-2.90E-06,0.000121441,0.000100646,1.79E-05,5.06E-05,9.36E-06,-6.30E-05
Blue555,Blue555,3.75E-05,1.31E-05,-0.000117961,0.000226725,0.000313636,0.000585369,0.001736354,0.008624015,0.011467081,0.003215584,0.000649519,0.000342739,0.000135601,0.000263235,0.00029973,0.00013536,0.000252488,0.000385437,0.000254354,0.000401974,0.005504021,0.006141643,0.030563343,0.039114573,0.021079236,0.020110251,0.004328543,0.001789047,0.001276736,0.000889828,0.00062754,0.000245433,0.418277192,0.343432094,1,0.722388501,0.425546086,0.270053663,0.08204856,0.048824187,0.035520821,0.016195346,0.008623612,0.006249685,0.004414815,0.003790868,0.111585734,0.050856193,0.033966767,0.009831476,0.005510281,0.00384254,0.003163434,0.000842498,0.000801432,0.000293401,0.000478908,0.000799104,0.000489386,0.000356439,0.000175076,0.000130035,0.00014901,0.000214531
Blue61070S,Blue 610-70S,-0.000268988,-1.48E-05,-0.000172943,0.000154269,0.000571399,7.78E-05,0.000683471,5.91E-05,0.001512184,0.009656611,0.002909276,0.001787965,0.000856761,0.001074541,0.000485061,0.000252535,-7.03E-05,-0.000305177,-6.78E-05,0.000348933,0.002916502,0.002931523,0.003285511,0.004061424,0.019494743,0.071345349,0.020434515,0.011268909,0.006793193,0.004566587,0.003379001,0.001155481,0.226427476,0.167613863,0.135669305,0.05856933,0.357586297,1,0.381431582,0.299256779,0.261678097,0.112055202,0.060069913,0.050946046,0.034288674,0.027611912,0.00745667,0.079436006,0.244483802,0.098004781,0.07426482,0.057034851,0.047661085,0.017524239,0.011187322,0.005825596,0.004042152,0.004251928,0.004502674,0.002214947,0.001268842,0.000639969,0.000524081,0.001012307
Blue660120S,NovaFluor Blue660-120S,-0.000175665,0.00013735,6.81E-05,0.000142281,0.000164352,0.000779472,0.002417599,0.001022285,0.00077011,0.000559895,0.006025532,0.003011782,0.001792658,0.001465045,0.001361726,0.000961808,0.000316709,0.000834089,0.001226818,0.000942662,0.003848572,0.003546286,0.004702063,0.003240484,0.001385443,0.002453087,0.095252062,0.053732387,0.02880661,0.023789044,0.013476591,0.00457456,0.189439761,0.142950043,0.114322764,0.030194203,0.018716227,0.015449481,1,0.909151803,0.570795108,0.264215701,0.189813147,0.145017498,0.077000972,0.070214951,-0.000110951,0.000245267,0.000976695,0.054635972,0.048246477,0.026749027,0.023760662,0.012074408,0.005012191,0.002437945,0.476585861,0.651938991,0.360452419,0.187658797,0.169026135,0.107841085,0.072299179,0.032705178
