Primary,Secondary,349nm - 387/11-A,349nm - 420/10-A,349nm - 434/17-A,349nm - 455/14-A,349nm - 473/15-A,349nm - 507/19-A,349nm - 549/15-A,349nm - 575/15-A,349nm - 615/24-A,349nm - 670/30-A,349nm - 728/40-A,349nm - 810/25-A,405nm - 420/10-A,405nm - 434/17-A,405nm - 455/14-A,405nm - 473/15-A,405nm - 507/19-A,405nm - 549/15-A,405nm - 575/15-A,405nm - 615/24-A,405nm - 661/20-A,405nm - 710/20-A,405nm - 747/33-A,405nm - 770/LP-A,488nm - 520/40-A,488nm - 549/15-A,488nm - 583/30-A,488nm - 615/24-A,488nm - 670/30-A,488nm - 720/24-A,488nm - 750/LP-A,561nm - 575/15-A,561nm - 589/15-A,561nm - 605/15-A,561nm - 622/15-A,561nm - 661/20-A,561nm - 685/15-A,561nm - 700/13-A,561nm - 720/24-A,561nm - 760/50-A,561nm - 810/25-A,561nm - 844/25-A,561nm - 860/LP-A,637nm - 661/20-A,637nm - 700/13-A,637nm - 720/24-A,637nm - 760/50-A,637nm - 785/LP-A,781nm - 810/25-A,781nm - 844/25-A,781nm - 860/LP-A
AlexaFluor700,AlexaFluor700,-0.001184629,-0.001836153,-0.00068109,-0.002517091,-0.00195457,0.007255457,0.005004767,0.006900053,0.003287335,0.002576375,0.329187459,0.015251136,-0.000829377,0.000148136,-0.000947491,0.000295968,0.005537721,0.000355404,0.001303047,-5.91329E-05,1.52E-07,0.083984806,0.050313768,0.026504432,0.016524465,0.016021077,0.001717584,-0.000414537,0.001066212,0.015517689,0.00174715,-0.000296271,-0.000266553,0.000710505,-5.91329E-05,0.003079763,0.001688017,0.066986368,0.141080513,0.22630893,0.010779475,0.00527132,0.000296271,0.001066212,0.329868549,1,0.734956284,0.439646828,0.000236835,-0.000355404,0.000266401
APC,APC,-0.000286943,-0.000309038,-7.17076E-05,0.000513198,-5.51792E-05,0.001407169,0.00155615,0.001020886,0.001710641,0.174923821,0.061230782,0.00321164,-1.10189E-05,-3.31132E-05,-3.31132E-05,0.000375236,0.000678736,-3.31132E-05,0.000143472,0.000242811,0.071268515,0.010186714,0.007113064,0.003084725,0.002643235,0.001649981,0.000182123,6.62264E-05,0.009022384,0.001340915,0.000706339,6.06887E-05,-5.52075E-05,0.000126887,0.000750471,0.310458231,0.057401123,0.044344891,0.041105647,0.079943295,0.004480848,0.002096952,4.41321E-05,1,0.110177927,0.162402882,0.155885799,0.080103295,-8.82642E-05,0,1.65848E-05
APCCy7,APCCy7,-0.000578931,-4.54496E-05,-0.000340465,0.000567539,0.00173685,0.001010295,0.002917378,0.001963866,0.001577893,0.021284087,0.010329911,0.095840783,0,-9.0783E-05,-0.000669772,-0.000227016,0.000953512,-2.26667E-05,0.000874121,0.000681047,0.003950399,0.00065838,0.009819097,0.086759574,0.005970931,0.002020591,0.000408582,-2.26667E-05,0.000454031,0.000227016,0.004302255,-5.66667E-05,-3.41163E-05,7.94497E-05,0.000113566,0.030796661,0.002338389,0.001566501,0.001214644,0.170022956,0.113344879,0.023315953,0.000454031,0.116988754,0.004268197,0.021533769,0.362362844,1,0.466149757,0.147989589,0.02684632
APCR700,APCR700,1.75312E-05,-0.000349371,-0.000419317,-1.74417E-05,0.001642207,0.002777709,0.003895769,0.00078613,0.000733716,0.034118367,0.30479367,0.021732317,5.24147E-05,-8.72981E-05,-0.000419317,-0.000681391,-0.0002271,0.000157244,8.73876E-05,0.000122271,0.003301766,0.07365217,0.034502622,0.017871521,0.00579996,0.00244569,1.74417E-05,3.49729E-05,0.000855987,0.03125327,0.00279515,3.48835E-05,0,-6.99458E-05,3.48835E-05,0.02466718,0.053998818,0.197704435,0.221463303,0.286502921,0.036581587,0.008455308,0.000104829,0.094720627,0.583068383,1,0.640718338,0.343908245,0.000174686,1.74417E-05,5.24147E-05
BB515,BB515,-5.25781E-05,-0.000118848,-0.000132563,-0.000329125,0.000251422,0.027907044,0.01563114,0.006093378,0.00263528,0.000559974,0.000153135,9.14177E-05,-4.57557E-06,0,0.000123412,0.00011199,0.007007614,0.000148571,0.000966802,0.000219417,0.000125705,3.19939E-05,2.29363E-06,0.000134856,1,0.330311026,0.056833457,0.013418696,0.005430565,0.000715392,0.000109708,2.05725E-05,9.15113E-06,-1.3715E-05,-1.14331E-05,4.80025E-05,-5.25663E-05,-4.34269E-05,0,-6.39994E-05,1.82906E-05,-1.14214E-05,0,0,-2.28193E-06,2.29363E-06,1.14214E-05,3.88514E-05,-3.20056E-05,0,2.28193E-06
BB700,BB700,-5.25023E-05,0.000323749,-0.000192493,0.000262511,0.002099866,0.004051006,0.010123125,0.011068075,0.018522589,0.18110469,0.3864191,0.058787518,0,-1.75157E-05,0.000699955,-0.000402502,0.00356975,0.001408691,0.018076365,0.024629694,0.089909259,0.324849277,0.163089607,0.136885024,0.024113452,0.047754474,0.035522703,0.025828376,0.477282091,1,0.361212015,-0.000131211,-8.73544E-06,-0.000131211,0.000183713,0.015329046,0.045680859,0.071955415,0.040614929,0.072270383,0.006772074,0.002301095,-1.75157E-05,0.081807292,0.331708884,0.286902959,0.234905031,0.142720928,9.62691E-05,0.000113785,4.37668E-05
BUV395,BUV395,1,0.799663432,0.511233708,0.38109976,0.301204808,0.124735841,0.036440739,0.013421313,0.006919254,0.001951989,0.00130576,0.000524992,0.000740379,0.000780768,0.002705808,0.000928816,0.003163462,0,0.000807717,0.000471163,0.000296165,0.000148117,-5.38294E-05,0.000484603,0.002261595,0.001709653,0.000457723,-5.38294E-05,2.69492E-05,-0.000107659,0.000201947,0.000215387,4.03893E-05,8.07097E-05,2.69492E-05,6.73385E-05,-5.38294E-05,0.00061928,2.69492E-05,0.000498112,6.73385E-05,-1.34401E-05,6.73385E-05,9.42877E-05,9.42188E-05,-0.000107728,-0.000107659,0.000282725,8.07786E-05,0.000215387,0.000134608
BV421,BV421,0.000110574,0.101382198,0.064986578,0.066717617,0.045710161,0.020703866,0.007179405,0.002726196,0.001033388,0.0004242,0.000295551,2.41283E-05,1,0.60889837,0.518965828,0.169754413,0.072797271,0.005333788,0.008202736,0.002330138,0.000255323,8.84635E-05,-2.01755E-06,8.84635E-05,0.001823506,0.000824293,0.000108557,6.02177E-06,5.83031E-05,9.851E-05,-4.02481E-06,6.03207E-06,-2.2121E-05,-1.60786E-05,2.81428E-05,1.40714E-05,2.81325E-05,0.000138727,-4.01452E-06,-3.41749E-05,-1.00466E-05,-2.01755E-06,2.21107E-05,2.81428E-05,2.41283E-05,1.60786E-05,2.2121E-05,4.02172E-05,2.81634E-05,-1.00569E-05,-1.80962E-05
BUV496,BUV496,0.081424746,0.111487905,0.086110523,0.105076177,0.366333845,1,0.477686916,0.195420717,0.107934825,0.04091799,0.01017386,0.001011324,5.39198E-05,0.000485451,0.012277423,0.055056268,0.16413052,0.023610974,0.034485999,0.016288995,0.001894512,0.000370776,-5.39543E-05,0.001699026,0.077952545,0.033697154,0.003425013,2.69944E-05,-0.000175291,0.000296628,0.000276399,6.06512E-05,0.000208982,0.000323588,-6.76587E-06,0.00010784,-0.000121371,0.000262971,9.44114E-05,0.000997827,-5.39543E-05,0.000202286,4.71885E-05,3.36913E-05,0.000134834,-2.0194E-05,0.000148297,-0.000431497,7.41484E-05,-6.76587E-06,3.45E-08
BUV563,BUV563,0.08364062766021958,0.11410130762198432,0.08696185288090906,0.08239516820246104,0.08135322172975201,0.049997176325058956,0.8484293386286442,1,0.5509373246273843,0.1842291398669351,0.059211859184685224,0.002539765366157704,0.00009769290128119822,0.00026048661817725633,0.0017257134259595962,0.0011884441467719144,0.003899172090171715,0.004688759127190615,0.043314048293385456,0.020236559359377966,0.0025560197311319645,0.0003581795194584546,0.00014653935192179734,0.0005861157298282809,0.02564980470797262,0.2270873574174398,0.12430092164333297,0.03769733163760018,0.015832668397826,0.0024013115188641285,0.0006756397707634404,0.28460601190611395,0.12406485825047602,0.12911175521926618,0.07833316071753435,0.04929707165111631,0.007489011111525575,0.006048207529063534,0.001050073655196156,0.0042410555667970005,0.00029299534812577793,0.000016254364974260795,0.00006510081561485991,-0.000016254364974260795,-0.00010582008376832862,0.00007322799810199031,0.00008143853630693742,0.00022793621036982638,0.00008952404093515946,0.00003259208566633832,-0.000016254364974260795
